시점,총합,종합몰,전문몰
2018-01,347457,3120,344337
2018.02,324245,2764,321481
2018.03,361763,4286,357477
2018.04,365956,3706,362250
2018.05,389395,4092,385303
2018.06,413053,4465,408588
2018.07,456927,5161,451766
2018.08,496930,5994,490936
2018.09,463750,5925,457825
2018.10,502456,6721,495735
2018.11,510496,7167,503329
2018.12,630349,9246,621103
2019.01,621909,8860,613049
2019.02,614963,7796,607167
2019.03,694509,8882,685627
2019.04,686320,8139,678181
2019.05,742382,8711,733671
2019.06,774478,9207,765271
2019.07,828915,9432,819483
2019.08,917005,8617,908388
2019.09,854892,8490,846402
2019.10,913722,10288,903434
2019.11,1026981,11339,1015642
2019.12,1059286,13650,1045636
2020.01,1063820,14676,1049144
2020.02,1135331,17340,1117991
2020.03,1252462,20297,1232165
2020.04,1263148,19874,1243274
2020.05,1320798,20150,1300648
2020.06,1253440,19877,1233563
2020.07,1378600,21120,1357480
2020.08,1676687,25959,1650728
2020.09,1603614,24571,1579043
2020.10,1546338,23909,1522429
2020.11,1642625,24046,1618579
2020.12,2197375,30535,2166840
2021.01,2030620,27360,2003260
2021.02,1824078,24010,1800068
2021.03,1965974,19886,1946088
2021.04,1975909,17847,1958062
2021.05,2140672,18769,2121903
2021.06,1971954,15812,1956142
2021.07,2377984,19619,2358365
2021.08,2418806,18588,2400218
2021.09,2187844,15150,2172694
2021.10,2263884,15732,2248152
2021.11,2071141,9746,2061395
2021.12,2449469,13350,2436119
2022.01,2388571,14051,2374520
2022.02,2244240,11704,2232536
2022.03,2380695,12169,2368526